"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Is indexable page"	"No. of all inlinks"	"First found at"
"35"	"https://solarinstallerstx.com/texas-solar-incentives-2025"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/texas-guide"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/sunnova-help"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"49"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/how-we-protect-you"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/sitemap"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/affiliate-disclosure"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/report-bankruptcy"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"48"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/nabcep-certified-installers"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"50"	"https://solarinstallerstx.com/installers"
"35"	"https://solarinstallerstx.com/installer-dashboard/login"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"47"	"https://solarinstallerstx.com/installers"
"24"	"https://solarinstallerstx.com/installers/san-antonio/earth-smart-solar-tx"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/fonroche-lighting-america"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/sustainable-roofing-solar"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"2"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/freedom-forever"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/a-to-z-solar-maintenance"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/pure-energy"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"2"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/miguel-rivera"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"2"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/mm-roofing-siding-windows"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
"24"	"https://solarinstallerstx.com/installers/san-antonio/solur-power"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"0"	"false"	"1"	""
